NUM_00,NUM_01,NUM_02,NUM_03,NUM_04,NUM_05,NUM_06,NUM_07,NUM_08,NUM_09,NUM_10,NUM_11,NUM_12,NUM_13,NUM_14,NUM_15,NUM_16,CAT_00,CAT_01,CAT_02,target
68,3,0,4013.0,48,70,25.3,148.8,164,20.95,246.5,3,3.27,12.1,103,5.84,129.8,415,0,0,0
125,1,0,1498.0,36,103,38.98,229.3,126,15.08,177.4,8,3.24,12.0,95,8.52,189.3,408,0,0,0
174,1,0,1692.0,13,97,32.66,192.1,94,14.44,169.9,4,3.08,11.4,54,7.5,166.6,408,0,0,0
116,2,34,4078.0,4,83,45.66,268.6,142,15.15,178.2,3,3.13,11.6,106,7.48,166.3,415,0,1,0
74,2,33,890.0,23,91,32.93,193.7,96,20.92,246.1,3,3.94,14.6,92,6.21,138.0,510,0,1,0
149,3,28,264.0,41,92,30.72,180.7,64,15.96,187.8,3,3.4,12.6,53,11.95,265.5,408,0,1,0
38,2,0,1680.0,27,98,22.3,131.2,97,13.85,162.9,6,2.21,8.2,106,7.15,159.0,408,0,0,0
40,2,41,1334.0,47,74,25.18,148.1,88,14.41,169.5,5,1.67,6.2,102,9.63,214.1,415,0,1,0
43,0,0,126.0,50,105,42.76,251.5,104,18.09,212.8,4,2.51,9.3,67,7.1,157.8,415,1,0,0
113,0,0,2004.0,23,93,21.28,125.2,119,17.54,206.4,8,2.24,8.3,139,5.82,129.3,408,1,0,0
126,1,0,613.0,44,70,35.97,211.6,80,18.44,216.9,1,2.11,7.8,60,6.91,153.5,408,0,0,0
150,4,0,2448.0,43,101,30.41,178.9,110,14.37,169.1,3,3.73,13.8,100,6.69,148.6,510,0,0,1
138,3,0,1665.0,31,93,41.11,241.8,83,14.49,170.5,7,3.19,11.8,104,13.29,295.3,408,0,0,0
162,0,46,4553.0,23,97,38.23,224.9,84,16.0,188.2,2,3.27,12.1,61,11.46,254.6,510,0,1,0
147,3,0,4622.0,32,83,42.26,248.6,85,12.66,148.9,4,2.16,8.0,109,7.76,172.5,510,0,0,0
90,1,0,3754.0,33,146,34.58,203.4,117,19.27,226.7,4,1.97,7.3,105,6.86,152.4,415,0,0,0
85,0,0,1830.0,11,109,40.09,235.8,94,13.36,157.2,3,3.24,12.0,99,8.47,188.2,415,0,0,0
50,1,0,1219.0,23,90,26.71,157.1,72,18.98,223.3,2,1.65,6.1,111,8.16,181.4,415,0,0,0
82,0,0,2439.0,7,109,51.05,300.3,100,15.39,181.0,4,3.16,11.7,73,12.15,270.1,415,0,0,1
144,4,0,1719.0,34,117,10.47,61.6,85,6.55,77.1,7,2.21,8.2,99,7.79,173.0,408,0,0,1
46,2,0,1505.0,23,72,36.4,214.1,104,13.97,164.4,3,2.21,8.2,113,7.99,177.5,415,0,0,0
70,1,0,276.0,20,98,28.93,170.2,102,13.19,155.2,2,4.05,15.0,76,10.29,228.6,408,0,0,0
144,1,0,1422.0,49,99,34.19,201.1,74,25.8,303.5,2,3.56,13.2,119,10.08,224.0,415,0,0,0
116,3,0,204.0,37,104,36.62,215.4,79,17.41,204.8,5,3.4,12.6,109,12.53,278.5,415,1,0,0
55,3,25,4842.0,5,123,28.15,165.6,95,11.57,136.1,2,2.97,11.0,90,7.91,175.7,408,0,1,0
70,1,24,4411.0,10,101,42.42,249.5,98,22.07,259.7,4,2.65,9.8,68,10.02,222.7,415,0,1,0
106,2,0,3542.0,43,96,35.8,210.6,85,21.18,249.2,1,3.35,12.4,88,8.61,191.4,510,0,0,1
128,0,29,3182.0,46,104,30.48,179.3,86,19.2,225.9,7,2.32,8.6,78,14.54,323.0,510,0,1,0
94,4,0,3900.0,15,105,26.84,157.9,101,13.18,155.0,5,2.16,8.0,84,8.53,189.6,408,0,0,1
111,1,0,4514.0,49,118,36.43,214.3,76,17.72,208.5,2,3.24,12.0,98,8.21,182.4,510,0,0,0
74,2,35,1003.0,17,104,26.2,154.1,84,10.49,123.4,9,2.94,10.9,57,9.09,202.1,415,0,1,0
128,1,0,1662.0,31,125,40.44,237.9,93,21.05,247.6,4,3.75,13.9,68,9.4,208.9,415,0,0,1
82,1,0,3845.0,7,61,24.46,143.9,105,16.57,194.9,2,3.0,11.1,94,4.93,109.6,510,0,0,0
155,0,0,338.0,18,100,34.58,203.4,104,16.23,190.9,4,2.4,8.9,119,8.82,196.0,415,0,0,1
80,1,0,681.0,2,100,21.13,124.3,107,14.71,173.0,9,2.13,7.9,62,11.39,253.2,415,0,0,0
78,3,0,3844.0,21,93,42.99,252.9,112,15.16,178.4,7,2.57,9.5,105,11.88,263.9,415,0,0,0
90,3,0,3141.0,3,71,30.45,179.1,81,16.2,190.6,7,2.86,10.6,91,5.75,127.7,415,0,0,0
104,1,0,2029.0,0,106,47.33,278.4,113,6.89,81.0,5,2.65,9.8,137,7.34,163.2,408,0,0,0
73,0,0,2239.0,26,110,27.22,160.1,72,18.13,213.3,4,3.51,13.0,72,7.83,174.1,415,0,0,0
99,4,0,7.0,3,87,33.69,198.2,76,17.62,207.3,3,2.35,8.7,113,8.59,190.9,415,0,0,0
120,1,0,1490.0,25,131,36.06,212.1,104,17.8,209.4,5,1.43,5.3,96,7.52,167.2,408,0,0,1
77,2,0,1851.0,13,72,42.81,251.8,126,17.48,205.7,7,2.65,9.8,109,12.38,275.2,415,0,0,1
98,4,21,2701.0,12,114,27.4,161.2,83,21.44,252.2,8,1.19,4.4,92,7.21,160.2,510,0,1,0
108,0,0,1055.0,19,137,30.31,178.3,76,16.07,189.0,5,3.94,14.6,102,5.81,129.1,415,0,0,0
135,0,0,1414.0,46,82,25.79,151.7,105,10.12,119.0,6,2.84,10.5,100,8.1,180.0,415,0,0,0
95,1,0,3885.0,17,99,22.95,135.0,106,15.61,183.6,9,3.38,12.5,102,11.04,245.3,408,0,0,0
122,1,0,3649.0,15,94,28.99,170.5,109,14.76,173.7,2,3.05,11.3,75,11.19,248.6,408,0,0,0
95,4,0,345.0,3,65,40.48,238.1,98,15.91,187.2,4,3.19,11.8,115,8.55,190.0,408,0,0,0
36,2,29,3808.0,22,102,47.84,281.4,76,17.19,202.2,6,2.43,9.0,113,8.42,187.2,510,0,1,0
93,1,21,2896.0,32,131,20.04,117.9,115,13.98,164.5,3,2.65,9.8,86,9.76,217.0,510,0,1,0
141,1,32,2287.0,5,91,25.26,148.6,97,11.14,131.1,1,2.73,10.1,142,9.87,219.4,415,0,1,0
157,3,0,3975.0,44,90,39.07,229.8,121,12.57,147.9,7,2.59,9.6,108,10.86,241.4,408,0,0,0
120,1,0,4319.0,22,100,28.05,165.0,83,26.96,317.2,8,2.24,8.3,86,5.36,119.2,408,0,0,0
103,2,0,531.0,19,117,31.45,185.0,94,18.98,223.3,2,3.4,12.6,91,10.03,222.8,415,0,0,0
98,4,0,2877.0,1,117,27.37,161.0,113,16.23,190.9,4,3.27,12.1,113,10.25,227.7,408,0,0,0
125,1,0,1714.0,8,108,21.54,126.7,90,17.51,206.0,7,3.59,13.3,114,11.15,247.8,408,0,0,0
63,1,0,4221.0,3,125,10.01,58.9,59,14.42,169.6,3,2.54,9.4,88,9.51,211.4,415,0,0,0
36,0,42,1853.0,21,89,33.46,196.8,122,21.67,254.9,6,5.4,20.0,126,6.22,138.3,510,1,1,1
64,1,0,3337.0,31,83,27.64,162.6,109,12.95,152.3,3,3.83,14.2,122,2.59,57.5,510,0,0,0
74,1,0,1496.0,33,114,48.03,282.5,48,18.69,219.9,4,2.54,9.4,115,7.65,170.0,415,0,0,1
112,2,36,4302.0,24,117,19.33,113.7,82,13.39,157.5,3,2.7,10.0,118,7.99,177.6,510,0,1,0
97,2,0,39.0,13,125,40.77,239.8,111,18.26,214.8,5,2.35,8.7,81,6.45,143.3,408,0,0,0
46,1,0,1324.0,29,92,35.73,210.2,77,19.32,227.3,7,3.54,13.1,116,9.0,200.1,408,0,0,0
41,0,22,2252.0,43,102,36.35,213.8,86,12.05,141.8,3,1.94,7.2,123,6.4,142.2,408,0,1,0
121,3,0,2193.0,20,103,32.42,190.7,117,15.6,183.5,4,2.65,9.8,103,9.94,220.8,510,0,0,0
193,1,0,87.0,25,124,29.05,170.9,95,11.25,132.3,3,3.13,11.6,89,5.08,112.9,415,0,0,0
130,2,0,4261.0,33,119,26.21,154.2,98,9.37,110.2,5,2.48,9.2,117,10.23,227.4,510,0,0,0
85,1,0,1419.0,3,52,34.24,201.4,104,19.5,229.4,3,3.24,12.0,106,11.36,252.5,408,0,0,0
162,4,0,426.0,25,108,12.02,70.7,87,13.39,157.5,3,2.46,9.1,82,6.97,154.8,415,0,0,1
61,4,27,4603.0,25,124,31.88,187.5,103,12.46,146.6,6,1.73,6.4,129,10.16,225.7,510,0,1,1
92,2,0,4329.0,43,90,15.59,91.7,123,16.46,193.7,4,2.48,9.2,86,7.88,175.0,408,0,0,0
131,3,36,186.0,29,115,36.41,214.2,117,13.74,161.7,4,2.57,9.5,102,11.91,264.7,408,0,1,0
90,3,0,1383.0,29,92,24.74,145.5,114,18.5,217.7,2,2.94,10.9,123,6.61,146.9,415,0,0,0
75,1,0,1471.0,4,125,28.27,166.3,86,13.45,158.2,5,1.65,6.1,80,11.55,256.7,408,0,0,0
78,1,0,3292.0,31,115,39.27,231.0,140,19.58,230.4,3,2.57,9.5,120,11.76,261.4,415,0,0,0
82,4,0,3804.0,43,96,34.05,200.3,102,17.1,201.2,1,1.92,7.1,60,9.27,206.1,408,0,0,0
163,1,0,4443.0,2,109,33.49,197.0,128,17.22,202.6,10,2.46,9.1,80,9.29,206.4,408,0,0,0
91,3,0,3118.0,1,112,22.08,129.9,83,14.73,173.3,3,3.02,11.2,130,11.12,247.2,510,1,0,0
75,5,21,2451.0,34,97,29.89,175.8,106,18.49,217.5,4,1.43,5.3,134,10.69,237.5,415,0,1,0
91,3,0,2695.0,9,106,34.53,203.1,113,17.86,210.1,3,3.24,12.0,129,8.8,195.6,510,0,0,0
127,1,36,963.0,0,117,31.14,183.2,76,10.78,126.8,8,3.02,11.2,71,11.85,263.3,510,0,1,0
113,2,23,4989.0,33,101,34.85,205.0,60,12.92,152.0,5,2.75,10.2,59,7.14,158.6,415,0,1,0
110,1,0,982.0,8,115,25.25,148.5,84,23.49,276.4,3,3.35,12.4,112,8.71,193.6,510,0,0,0
120,0,39,2432.0,20,68,34.05,200.3,97,18.73,220.4,4,2.84,10.5,116,11.42,253.8,415,0,1,0
157,3,28,2805.0,22,107,32.74,192.6,74,16.62,195.5,5,1.84,6.8,139,4.94,109.7,415,0,1,0
103,1,0,3273.0,46,47,41.91,246.5,84,16.62,195.5,4,3.16,11.7,96,9.02,200.5,510,0,0,0
117,2,0,3268.0,46,86,28.41,167.1,87,15.09,177.5,7,3.81,14.1,132,11.22,249.4,408,1,0,1
140,3,0,4867.0,22,101,39.42,231.9,94,13.61,160.1,6,3.86,14.3,98,4.97,110.4,415,0,0,0
127,1,0,3083.0,47,91,24.94,146.7,78,17.3,203.5,3,3.7,13.7,110,9.15,203.4,408,0,0,0
83,1,0,2748.0,44,87,46.16,271.5,126,18.39,216.3,4,3.16,11.7,105,5.45,121.1,408,1,0,0
121,1,0,3305.0,18,121,30.86,181.5,98,18.56,218.4,5,2.3,8.5,103,7.27,161.6,408,0,0,0
145,2,43,2042.0,39,97,43.81,257.7,95,13.78,162.1,4,3.0,11.1,86,12.91,286.9,408,0,1,0
113,1,0,3549.0,12,99,32.95,193.8,125,18.82,221.4,6,2.86,10.6,67,7.75,172.3,408,0,0,0
117,1,0,1411.0,29,119,17.48,102.8,91,17.57,206.7,7,2.73,10.1,105,13.46,299.0,415,0,0,0
65,1,0,490.0,35,116,31.94,187.9,117,13.4,157.6,6,2.03,7.5,86,10.23,227.3,408,0,0,0
56,1,0,2909.0,39,112,38.42,226.0,118,21.12,248.5,11,1.86,6.9,142,6.32,140.5,415,0,0,0
96,5,0,1825.0,36,115,44.27,260.4,46,12.41,146.0,4,3.11,11.5,87,12.13,269.5,415,0,0,0
151,0,0,3860.0,18,116,30.38,178.7,138,24.83,292.1,4,2.65,9.8,101,11.97,265.9,408,0,0,0
83,0,0,2264.0,35,120,57.36,337.4,116,19.33,227.4,7,4.27,15.8,114,6.93,153.9,415,0,0,1
139,0,23,46.0,45,129,26.79,157.6,96,21.0,247.0,2,3.7,13.7,112,11.66,259.2,510,0,1,0
6,1,0,1227.0,24,117,31.21,183.6,72,21.82,256.7,2,2.75,10.2,79,8.04,178.6,510,0,0,0
115,1,24,1256.0,9,124,24.16,142.1,129,15.59,183.4,4,2.59,9.6,114,7.42,164.8,510,0,1,0
87,0,0,1741.0,40,97,23.17,136.3,108,14.64,172.2,5,1.92,7.1,101,6.19,137.5,415,0,0,0
141,0,0,4750.0,45,110,36.91,217.1,111,20.53,241.5,6,3.24,12.0,103,11.41,253.5,415,0,0,0
141,3,36,4151.0,12,99,31.88,187.5,116,20.52,241.4,5,2.84,10.5,105,10.33,229.5,510,0,1,0
62,1,0,4342.0,22,103,16.81,98.9,122,11.51,135.4,1,3.29,12.2,82,10.65,236.6,415,0,0,0
146,1,0,423.0,36,151,35.07,206.3,89,12.63,148.6,3,1.65,6.1,91,7.52,167.2,415,0,0,0
92,2,33,1809.0,8,92,41.33,243.1,92,18.17,213.8,2,3.27,12.1,104,10.29,228.7,415,0,1,0
185,1,31,2035.0,10,126,32.27,189.8,133,13.88,163.3,3,2.03,7.5,126,11.92,264.8,510,0,1,0
148,1,0,120.0,7,102,34.34,202.0,128,20.67,243.2,3,2.94,10.9,90,11.76,261.3,415,0,0,0
94,1,38,3300.0,3,124,28.92,170.1,116,16.43,193.3,4,3.46,12.8,73,4.77,105.9,408,0,1,0
32,0,0,4056.0,1,87,39.25,230.9,90,15.93,187.4,2,1.7,6.3,53,6.93,154.0,510,0,0,0
68,1,0,612.0,5,105,40.31,237.1,105,19.0,223.5,2,3.56,13.2,79,4.38,97.4,408,0,0,0
64,2,27,3472.0,30,91,30.96,182.1,98,14.42,169.7,5,2.86,10.6,86,7.41,164.7,408,0,1,0
25,3,0,2796.0,32,87,20.28,119.3,101,17.98,211.5,4,2.84,10.5,86,12.1,268.9,415,0,0,0
65,1,0,3650.0,37,87,19.86,116.8,93,15.21,178.9,2,3.81,14.1,150,8.21,182.4,415,0,0,0
179,0,0,4618.0,18,92,37.26,219.2,125,12.7,149.4,5,1.65,6.1,104,11.01,244.7,408,0,0,0
94,2,0,2565.0,29,104,42.94,252.6,125,14.37,169.0,7,3.0,11.1,106,7.69,170.9,415,0,0,0
62,0,0,4306.0,23,91,25.01,147.1,107,16.18,190.4,3,3.29,12.2,115,8.78,195.2,415,0,0,0
127,2,0,3854.0,22,103,34.36,202.1,86,19.5,229.4,3,3.11,11.5,113,8.78,195.2,415,0,0,0
116,3,0,4097.0,2,93,29.5,173.5,76,16.5,194.1,10,4.37,16.2,112,9.36,208.0,408,0,0,0
70,3,0,4431.0,16,122,39.46,232.1,112,24.85,292.3,0,0.0,0.0,112,9.05,201.2,408,0,0,0
94,4,23,1485.0,49,125,33.51,197.1,136,18.23,214.5,5,2.57,9.5,103,12.7,282.2,510,1,1,0
126,5,0,2331.0,0,94,9.89,58.2,118,11.79,138.7,1,3.21,11.9,91,6.16,136.8,415,0,0,1
67,2,36,4074.0,34,111,19.65,115.6,94,20.2,237.7,12,2.67,9.9,103,7.65,169.9,408,0,1,0
19,2,0,1777.0,30,98,31.64,186.1,57,21.62,254.3,7,3.94,14.6,127,9.63,214.0,408,0,0,0
170,3,0,1177.0,45,68,44.18,259.9,122,20.83,245.0,3,2.27,8.4,121,6.05,134.4,510,1,0,0
73,1,0,285.0,32,145,36.43,214.3,135,22.82,268.5,13,2.92,10.8,92,10.85,241.2,415,0,0,0
106,1,0,4974.0,34,74,26.98,158.7,139,5.47,64.3,4,2.75,10.2,103,8.93,198.5,408,0,0,0
93,2,0,3779.0,3,71,46.17,271.6,108,19.5,229.4,3,2.94,10.9,121,3.48,77.3,415,0,0,0
164,1,0,2387.0,50,111,27.3,160.6,126,13.87,163.2,3,2.43,9.0,112,8.42,187.1,510,0,0,0
51,1,0,588.0,47,109,39.51,232.4,95,15.93,187.4,3,2.46,9.1,107,10.4,231.2,408,0,0,0
107,0,0,4797.0,5,85,22.75,133.8,94,15.34,180.5,4,2.4,8.9,115,5.05,112.2,415,0,0,0
130,1,0,1686.0,43,109,30.07,176.9,104,7.71,90.7,2,2.57,9.5,69,10.71,238.0,415,0,0,0
80,2,0,2474.0,17,74,35.68,209.9,77,16.58,195.1,4,2.38,8.8,119,9.37,208.2,408,0,0,0
94,0,0,4228.0,26,118,23.38,137.5,88,17.27,203.2,2,3.62,13.4,131,6.75,150.0,415,0,0,0
118,1,23,4282.0,36,52,49.22,289.5,111,14.16,166.6,4,2.57,9.5,88,5.36,119.1,408,0,1,0
117,1,23,3026.0,20,86,33.68,198.1,86,15.05,177.0,6,1.84,6.8,92,8.12,180.5,415,0,1,0
78,0,0,257.0,42,119,25.45,149.7,115,15.49,182.2,8,2.62,9.7,126,11.77,261.5,415,0,0,0
208,2,0,2630.0,43,67,55.51,326.5,113,14.99,176.3,6,2.89,10.7,102,8.18,181.7,510,0,0,1
131,4,26,1387.0,21,101,49.79,292.9,97,16.97,199.7,7,3.73,13.8,127,11.49,255.3,510,1,1,1
63,0,0,3770.0,7,64,14.11,83.0,106,15.05,177.0,3,3.51,13.0,89,11.06,245.7,408,0,0,0
53,3,24,1627.0,23,146,24.77,145.7,136,18.74,220.5,5,3.54,13.1,96,11.25,249.9,415,0,1,0
62,2,0,2615.0,8,101,30.99,182.3,93,27.9,328.2,1,3.02,11.2,131,11.03,245.0,408,0,0,0
97,3,0,3644.0,20,86,37.06,218.0,94,15.64,184.0,8,1.73,6.4,110,10.82,240.5,415,0,0,0
105,2,0,2071.0,22,109,23.9,140.6,51,15.18,178.6,3,1.84,6.8,83,9.76,217.0,510,0,0,0
157,1,0,744.0,47,105,25.96,152.7,80,21.89,257.5,4,2.54,9.4,93,8.91,198.1,415,0,0,0
66,1,36,661.0,24,76,18.14,106.7,77,17.83,209.8,2,3.27,12.1,117,8.57,190.4,415,0,1,0
122,2,0,883.0,15,98,41.45,243.8,72,7.13,83.9,8,3.7,13.7,84,8.09,179.8,415,0,0,0
38,3,0,2493.0,37,94,33.05,194.4,95,15.87,186.7,5,2.92,10.8,90,10.05,223.3,415,0,0,0
106,3,0,4259.0,20,95,36.36,213.9,70,12.91,151.9,5,3.29,12.2,124,11.7,260.1,510,0,0,0
99,3,0,3059.0,39,112,36.92,217.2,89,20.97,246.7,7,4.27,15.8,89,10.17,226.1,510,0,0,0
99,1,0,4417.0,18,72,40.99,241.1,98,13.23,155.6,10,3.13,11.6,109,8.47,188.2,415,0,0,0
144,0,0,1005.0,3,100,34.6,203.5,103,21.05,247.6,11,3.21,11.9,94,8.74,194.3,510,1,0,0
82,1,24,303.0,38,131,26.38,155.2,106,20.78,244.5,3,2.89,10.7,68,5.51,122.4,415,0,1,0
86,1,31,4067.0,3,139,28.49,167.6,118,9.61,113.0,6,3.29,12.2,121,11.11,246.9,408,0,1,0
70,2,0,2041.0,9,98,38.54,226.7,115,19.39,228.1,4,4.75,17.6,93,3.29,73.2,510,1,0,1
93,3,0,553.0,18,93,30.48,179.3,98,15.18,178.6,6,3.11,11.5,131,10.13,225.2,415,0,0,0
93,0,0,47.0,9,89,25.74,151.4,76,15.84,186.4,3,2.94,10.9,120,7.76,172.5,415,0,0,0
120,3,0,2777.0,9,80,30.6,180.0,82,19.06,224.2,7,1.27,4.7,91,11.94,265.4,415,0,0,0
136,1,0,2458.0,20,121,42.53,250.2,118,22.7,267.1,2,3.51,13.0,114,6.8,151.0,415,0,0,1
106,0,0,1520.0,1,121,37.91,223.0,98,9.36,110.1,12,1.92,7.1,107,8.49,188.7,415,0,0,0
81,3,0,4988.0,47,116,31.21,183.6,98,12.97,152.6,6,3.29,12.2,99,9.55,212.2,415,0,0,0
127,1,22,451.0,42,114,28.22,166.0,103,14.83,174.5,6,2.75,10.2,68,11.02,244.9,408,0,1,0
65,1,0,820.0,25,112,23.14,136.1,96,23.2,272.9,2,1.19,4.4,104,9.91,220.2,415,0,0,0
35,2,0,941.0,21,113,25.38,149.3,122,20.59,242.2,6,2.4,8.9,104,7.84,174.3,408,0,0,0
88,2,0,601.0,36,97,11.12,65.4,76,14.3,168.2,1,3.73,13.8,113,10.62,236.0,408,0,0,0
65,1,0,3203.0,15,111,36.28,213.4,94,19.93,234.5,4,0.73,2.7,123,11.25,250.1,415,0,0,0
