NUM_00,CAT_00,CAT_01,CAT_02,CAT_03,NUM_01,CAT_04,CAT_05,CAT_06,NUM_02,CAT_07,NUM_03,NUM_04,NUM_05,NUM_06,CAT_08,target
33,admin.,divorced,secondary,no,479.0,yes,no,unknown,27,may,74.0,5,-1.0,0.0,unknown,0
34,technician,married,secondary,no,545.0,yes,no,cellular,25,aug,96.0,4,-1.0,0.0,unknown,0
49,admin.,married,secondary,no,512.0,yes,yes,unknown,14,may,455.0,3,-1.0,0.0,unknown,0
35,technician,single,tertiary,no,2453.0,yes,no,cellular,13,aug,119.0,2,-1.0,0.0,unknown,0
33,management,single,tertiary,no,4176.0,no,no,cellular,26,mar,288.0,3,-1.0,0.0,unknown,1
49,services,single,secondary,no,178.0,yes,yes,cellular,29,jan,197.0,1,-1.0,0.0,unknown,0
29,management,single,tertiary,no,3846.0,no,no,cellular,3,jun,313.0,2,-1.0,0.0,unknown,1
56,unemployed,divorced,tertiary,no,0.0,yes,no,cellular,30,jul,1259.0,6,-1.0,0.0,unknown,0
59,blue-collar,married,secondary,no,149.0,no,yes,telephone,28,jul,313.0,16,-1.0,0.0,unknown,0
39,entrepreneur,married,secondary,no,0.0,no,no,cellular,21,nov,108.0,7,-1.0,0.0,unknown,0
35,technician,single,tertiary,no,275.0,yes,no,cellular,25,aug,63.0,5,-1.0,0.0,unknown,0
30,management,single,tertiary,no,59.0,yes,yes,unknown,8,may,202.0,1,-1.0,0.0,unknown,0
32,management,single,tertiary,no,469.0,yes,no,cellular,14,may,925.0,1,-1.0,0.0,unknown,0
62,self-employed,married,tertiary,no,3685.0,no,no,cellular,3,feb,181.0,3,-1.0,0.0,unknown,0
31,management,divorced,tertiary,no,297.0,no,no,cellular,12,aug,127.0,1,-1.0,0.0,unknown,0
33,management,married,tertiary,no,5878.0,no,no,cellular,23,oct,438.0,1,430.0,2.0,failure,1
27,technician,single,secondary,no,299.0,yes,no,cellular,5,feb,29.0,7,-1.0,0.0,unknown,0
34,blue-collar,married,secondary,no,1650.0,yes,yes,telephone,22,jul,351.0,11,-1.0,0.0,unknown,0
24,services,single,secondary,no,14.0,yes,no,cellular,7,may,241.0,1,-1.0,0.0,unknown,0
35,management,single,tertiary,no,14.0,no,no,cellular,7,jul,167.0,2,-1.0,0.0,unknown,0
36,blue-collar,single,secondary,no,219.0,yes,yes,cellular,11,may,270.0,2,347.0,1.0,failure,0
35,services,married,secondary,no,0.0,no,yes,telephone,9,jul,42.0,1,-1.0,0.0,unknown,0
50,blue-collar,married,primary,no,84.0,yes,no,unknown,29,may,179.0,1,-1.0,0.0,unknown,0
56,unemployed,divorced,tertiary,no,832.0,no,no,unknown,6,jun,36.0,2,-1.0,0.0,unknown,0
44,technician,married,secondary,no,2626.0,yes,no,unknown,14,may,567.0,3,-1.0,0.0,unknown,0
35,entrepreneur,married,tertiary,no,7962.0,yes,no,cellular,9,apr,275.0,2,140.0,2.0,failure,0
36,technician,single,secondary,no,376.0,no,no,cellular,13,nov,193.0,1,92.0,1.0,success,1
30,unemployed,single,secondary,yes,-770.0,yes,no,unknown,28,may,87.0,1,-1.0,0.0,unknown,0
40,entrepreneur,married,secondary,no,0.0,yes,yes,unknown,15,may,435.0,1,-1.0,0.0,unknown,0
57,blue-collar,married,secondary,no,2192.0,no,no,unknown,15,may,208.0,2,-1.0,0.0,unknown,0
42,management,married,primary,no,-679.0,yes,yes,cellular,6,may,159.0,1,343.0,2.0,failure,0
59,retired,married,secondary,no,19.0,no,yes,cellular,19,aug,271.0,3,-1.0,0.0,unknown,0
60,management,married,primary,no,92.0,no,no,telephone,2,feb,447.0,1,-1.0,0.0,unknown,0
42,services,married,secondary,no,9277.0,yes,no,cellular,15,may,395.0,1,361.0,3.0,other,0
30,technician,married,secondary,no,1534.0,yes,yes,unknown,15,may,243.0,1,-1.0,0.0,unknown,0
61,management,married,tertiary,no,267.0,no,no,cellular,21,oct,192.0,3,184.0,1.0,success,1
26,services,single,secondary,no,1050.0,yes,no,unknown,2,jun,118.0,3,-1.0,0.0,unknown,0
48,admin.,divorced,secondary,no,267.0,no,no,unknown,8,may,266.0,1,-1.0,0.0,unknown,0
38,technician,divorced,secondary,no,1.0,no,yes,cellular,23,jul,73.0,1,-1.0,0.0,unknown,0
40,student,married,secondary,no,260.0,no,no,unknown,20,jun,197.0,6,-1.0,0.0,unknown,0
32,technician,single,secondary,no,2341.0,yes,no,cellular,18,jul,243.0,1,-1.0,0.0,unknown,0
33,technician,married,tertiary,no,525.0,yes,yes,unknown,28,may,139.0,1,-1.0,0.0,unknown,0
53,management,married,tertiary,no,3105.0,yes,yes,cellular,21,nov,84.0,2,-1.0,0.0,unknown,0
40,blue-collar,married,secondary,no,-605.0,yes,yes,unknown,3,jun,143.0,1,-1.0,0.0,unknown,0
53,blue-collar,married,secondary,no,143.0,yes,no,cellular,7,jul,122.0,5,-1.0,0.0,unknown,0
37,blue-collar,married,secondary,no,771.0,yes,no,cellular,11,may,262.0,2,367.0,4.0,failure,0
36,technician,single,tertiary,no,46.0,yes,no,cellular,6,aug,459.0,3,-1.0,0.0,unknown,0
56,services,married,secondary,no,144.0,no,no,cellular,6,aug,184.0,2,-1.0,0.0,unknown,0
32,self-employed,single,tertiary,no,12269.0,no,no,unknown,16,may,141.0,1,-1.0,0.0,unknown,0
39,technician,divorced,tertiary,no,113.0,yes,yes,cellular,2,apr,1012.0,2,-1.0,0.0,unknown,0
37,management,single,tertiary,no,411.0,yes,yes,cellular,17,nov,142.0,1,-1.0,0.0,unknown,0
40,technician,married,secondary,no,0.0,no,no,cellular,15,apr,431.0,2,-1.0,0.0,unknown,0
32,blue-collar,married,secondary,no,578.0,yes,no,cellular,30,jan,206.0,3,-1.0,0.0,unknown,0
28,services,single,secondary,no,339.0,no,no,cellular,3,dec,350.0,1,182.0,1.0,success,1
54,management,married,unknown,no,831.0,yes,yes,telephone,2,jul,139.0,1,125.0,2.0,other,0
47,blue-collar,married,primary,no,0.0,yes,no,unknown,15,may,30.0,1,-1.0,0.0,unknown,0
27,blue-collar,married,tertiary,no,417.0,yes,yes,unknown,8,may,237.0,2,-1.0,0.0,unknown,0
52,management,married,tertiary,no,732.0,no,no,telephone,4,feb,48.0,1,-1.0,0.0,unknown,0
49,blue-collar,married,primary,no,937.0,yes,no,unknown,12,jun,66.0,1,-1.0,0.0,unknown,0
77,retired,married,primary,no,680.0,no,no,telephone,25,aug,103.0,3,-1.0,0.0,unknown,0
36,student,single,secondary,no,624.0,no,no,cellular,5,feb,518.0,2,8.0,1.0,other,0
35,blue-collar,single,secondary,no,507.0,no,no,unknown,17,jun,43.0,6,-1.0,0.0,unknown,0
42,technician,divorced,tertiary,no,343.0,no,no,cellular,25,aug,87.0,4,-1.0,0.0,unknown,0
49,services,divorced,secondary,no,3250.0,no,no,unknown,16,jun,32.0,3,-1.0,0.0,unknown,0
73,retired,divorced,secondary,no,7111.0,yes,no,cellular,12,oct,146.0,1,-1.0,0.0,unknown,1
50,self-employed,married,secondary,no,2137.0,no,no,cellular,3,jul,64.0,1,-1.0,0.0,unknown,0
51,technician,married,secondary,no,117.0,no,no,cellular,24,aug,467.0,2,88.0,4.0,other,1
22,blue-collar,single,primary,no,-168.0,yes,no,unknown,13,may,160.0,3,-1.0,0.0,unknown,0
28,unemployed,single,tertiary,no,7.0,no,no,cellular,8,nov,20.0,1,-1.0,0.0,unknown,0
46,admin.,single,secondary,no,751.0,yes,no,unknown,13,may,104.0,2,-1.0,0.0,unknown,0
27,admin.,married,secondary,no,-790.0,yes,no,cellular,22,jul,273.0,4,-1.0,0.0,unknown,0
33,services,divorced,secondary,no,1156.0,yes,no,cellular,15,may,612.0,1,177.0,2.0,failure,0
31,management,single,tertiary,no,83.0,no,no,cellular,4,aug,144.0,2,-1.0,0.0,unknown,0
50,blue-collar,divorced,primary,no,149.0,yes,no,unknown,7,may,74.0,1,-1.0,0.0,unknown,0
40,services,divorced,secondary,no,-81.0,no,yes,cellular,23,jul,186.0,1,-1.0,0.0,unknown,0
35,management,married,secondary,no,291.0,yes,no,unknown,26,may,327.0,1,-1.0,0.0,unknown,0
31,technician,married,tertiary,no,311.0,no,yes,cellular,8,aug,385.0,2,-1.0,0.0,unknown,0
39,admin.,divorced,secondary,no,-328.0,no,yes,cellular,31,jul,16.0,27,-1.0,0.0,unknown,0
39,blue-collar,married,secondary,no,161.0,yes,no,cellular,18,may,98.0,2,-1.0,0.0,unknown,0
40,blue-collar,married,primary,no,442.0,yes,no,cellular,1,apr,212.0,1,-1.0,0.0,unknown,0
31,entrepreneur,single,tertiary,no,46.0,yes,no,cellular,5,feb,90.0,1,-1.0,0.0,unknown,0
46,management,married,tertiary,no,229.0,yes,no,unknown,5,may,197.0,1,-1.0,0.0,unknown,0
53,management,married,tertiary,no,3754.0,no,no,cellular,22,apr,307.0,1,278.0,2.0,failure,1
36,management,divorced,tertiary,no,-252.0,yes,no,cellular,7,may,235.0,2,293.0,1.0,other,0
57,housemaid,divorced,unknown,no,11632.0,no,no,telephone,30,apr,71.0,2,-1.0,0.0,unknown,0
48,technician,married,secondary,no,17.0,yes,yes,cellular,17,nov,81.0,1,-1.0,0.0,unknown,0
33,technician,divorced,secondary,no,791.0,yes,no,cellular,24,jul,268.0,2,-1.0,0.0,unknown,0
55,self-employed,married,secondary,no,-196.0,yes,no,unknown,20,may,210.0,2,-1.0,0.0,unknown,0
48,services,married,secondary,no,440.0,yes,no,cellular,20,apr,611.0,1,312.0,1.0,failure,0
35,management,married,tertiary,no,376.0,no,no,cellular,19,nov,223.0,4,-1.0,0.0,unknown,0
41,technician,single,secondary,no,143.0,no,no,cellular,20,aug,744.0,7,-1.0,0.0,unknown,0
33,blue-collar,married,secondary,no,25.0,yes,no,unknown,23,may,3.0,3,-1.0,0.0,unknown,0
47,management,married,secondary,no,1083.0,no,no,cellular,25,aug,141.0,4,-1.0,0.0,unknown,0
35,unemployed,single,tertiary,no,154.0,no,no,cellular,29,jan,105.0,2,-1.0,0.0,unknown,0
44,entrepreneur,single,unknown,no,323.0,no,no,cellular,28,jul,332.0,2,181.0,2.0,failure,1
29,student,single,tertiary,no,3054.0,no,no,cellular,2,nov,204.0,1,186.0,7.0,success,0
45,technician,single,tertiary,no,4537.0,yes,no,unknown,16,may,337.0,2,-1.0,0.0,unknown,0
56,housemaid,married,primary,no,954.0,no,no,unknown,20,jun,81.0,10,-1.0,0.0,unknown,0
34,blue-collar,married,secondary,no,199.0,yes,no,unknown,8,may,627.0,3,-1.0,0.0,unknown,0
50,management,married,tertiary,no,1822.0,yes,no,cellular,20,apr,6.0,1,-1.0,0.0,unknown,0
48,self-employed,divorced,tertiary,no,41.0,yes,no,cellular,16,jul,198.0,2,-1.0,0.0,unknown,0
51,management,divorced,tertiary,no,2011.0,yes,no,cellular,20,nov,118.0,3,-1.0,0.0,unknown,0
34,blue-collar,married,primary,no,392.0,yes,no,cellular,18,may,180.0,3,360.0,1.0,failure,0
38,blue-collar,married,secondary,no,452.0,yes,no,cellular,9,feb,69.0,4,-1.0,0.0,unknown,0
36,management,married,tertiary,no,128.0,no,no,cellular,8,jul,733.0,1,-1.0,0.0,unknown,0
35,housemaid,single,tertiary,no,608.0,yes,yes,unknown,2,jun,227.0,1,-1.0,0.0,unknown,0
58,management,married,tertiary,no,4152.0,yes,no,cellular,13,may,76.0,7,13.0,6.0,success,0
31,student,single,tertiary,no,4951.0,no,no,cellular,28,jun,150.0,3,-1.0,0.0,unknown,0
52,housemaid,married,primary,no,310.0,no,yes,unknown,12,jun,100.0,4,-1.0,0.0,unknown,0
63,blue-collar,married,secondary,no,180.0,no,no,cellular,15,jul,390.0,2,182.0,5.0,success,1
75,unknown,married,tertiary,no,643.0,no,no,cellular,15,oct,522.0,2,-1.0,0.0,unknown,0
39,blue-collar,married,primary,no,481.0,yes,no,unknown,8,may,204.0,1,-1.0,0.0,unknown,0
47,blue-collar,married,primary,no,1865.0,yes,no,unknown,8,may,380.0,3,-1.0,0.0,unknown,0
57,housemaid,married,primary,no,53.0,no,no,unknown,1,jul,215.0,3,-1.0,0.0,unknown,0
28,blue-collar,married,secondary,no,-42.0,yes,no,cellular,15,may,192.0,1,364.0,3.0,other,0
28,entrepreneur,married,secondary,no,8.0,yes,no,unknown,27,may,1297.0,1,-1.0,0.0,unknown,0
29,services,single,secondary,no,27.0,yes,no,cellular,21,jul,554.0,2,-1.0,0.0,unknown,0
45,services,married,secondary,no,0.0,no,no,cellular,11,jul,106.0,2,-1.0,0.0,unknown,0
28,student,single,tertiary,no,111.0,no,no,cellular,10,mar,70.0,2,-1.0,0.0,unknown,0
46,unemployed,divorced,primary,no,23.0,no,no,cellular,21,nov,344.0,1,-1.0,0.0,unknown,0
43,blue-collar,married,secondary,no,0.0,yes,no,cellular,8,may,440.0,1,-1.0,0.0,unknown,0
34,technician,married,secondary,no,650.0,yes,no,unknown,30,may,184.0,2,-1.0,0.0,unknown,0
57,services,divorced,secondary,no,-752.0,yes,no,unknown,28,may,102.0,1,-1.0,0.0,unknown,0
31,management,single,tertiary,no,-208.0,yes,yes,cellular,20,nov,251.0,4,-1.0,0.0,unknown,0
31,admin.,single,secondary,no,144.0,yes,no,cellular,21,nov,51.0,2,140.0,11.0,failure,0
39,blue-collar,single,primary,no,581.0,yes,no,cellular,27,feb,233.0,1,270.0,1.0,other,1
32,self-employed,single,tertiary,no,-98.0,no,yes,cellular,21,nov,157.0,2,-1.0,0.0,unknown,0
49,self-employed,married,secondary,no,1683.0,no,no,cellular,29,aug,61.0,4,-1.0,0.0,unknown,0
34,entrepreneur,married,tertiary,no,121.0,yes,no,telephone,18,may,57.0,6,-1.0,0.0,unknown,0
54,technician,married,secondary,no,0.0,yes,no,telephone,12,may,11.0,6,-1.0,0.0,unknown,0
30,admin.,divorced,secondary,no,83.0,yes,yes,unknown,6,may,310.0,1,-1.0,0.0,unknown,0
36,technician,married,tertiary,no,0.0,no,no,cellular,20,aug,245.0,1,-1.0,0.0,unknown,0
38,management,divorced,tertiary,no,4425.0,yes,no,unknown,30,may,162.0,1,-1.0,0.0,unknown,0
45,management,married,tertiary,no,-61.0,no,no,cellular,30,jan,90.0,5,172.0,1.0,failure,0
35,management,married,tertiary,no,1870.0,yes,no,cellular,24,jun,134.0,1,386.0,1.0,failure,0
40,admin.,single,secondary,no,664.0,no,no,cellular,21,jul,1342.0,2,-1.0,0.0,unknown,1
37,admin.,married,unknown,no,497.0,yes,no,telephone,19,nov,178.0,2,-1.0,0.0,unknown,0
32,services,single,secondary,no,187.0,yes,no,unknown,29,may,315.0,1,-1.0,0.0,unknown,0
75,retired,divorced,secondary,no,1092.0,no,no,telephone,12,oct,250.0,1,431.0,2.0,failure,0
49,blue-collar,married,secondary,no,366.0,yes,yes,unknown,30,may,191.0,3,-1.0,0.0,unknown,0
57,services,divorced,secondary,no,4664.0,no,no,cellular,21,nov,22.0,4,114.0,1.0,failure,0
56,management,divorced,tertiary,no,442.0,no,no,unknown,28,may,77.0,3,-1.0,0.0,unknown,0
27,technician,married,tertiary,no,13.0,yes,no,telephone,6,feb,24.0,5,-1.0,0.0,unknown,0
32,services,divorced,secondary,no,41.0,yes,no,cellular,3,feb,251.0,4,187.0,11.0,other,0
35,blue-collar,single,primary,no,2040.0,no,no,cellular,21,nov,258.0,1,157.0,4.0,failure,0
34,entrepreneur,single,secondary,no,318.0,yes,no,cellular,6,oct,88.0,1,169.0,3.0,failure,0
34,admin.,married,secondary,no,0.0,yes,yes,cellular,9,jul,127.0,1,-1.0,0.0,unknown,0
24,management,married,secondary,no,867.0,yes,no,unknown,20,jun,546.0,10,-1.0,0.0,unknown,1
26,services,single,secondary,no,1347.0,no,no,telephone,18,jun,280.0,6,92.0,5.0,other,1
28,blue-collar,married,secondary,no,-185.0,yes,yes,unknown,13,may,170.0,1,-1.0,0.0,unknown,0
39,blue-collar,married,primary,no,477.0,yes,yes,cellular,21,nov,229.0,2,-1.0,0.0,unknown,0
28,technician,single,secondary,no,1363.0,no,no,cellular,9,jun,431.0,3,102.0,1.0,success,0
51,retired,divorced,secondary,no,343.0,yes,no,unknown,30,may,78.0,2,-1.0,0.0,unknown,0
31,management,single,tertiary,no,3142.0,yes,no,cellular,18,jul,164.0,1,-1.0,0.0,unknown,0
25,blue-collar,single,secondary,no,303.0,no,no,cellular,18,jun,252.0,1,92.0,1.0,success,1
26,self-employed,single,tertiary,no,458.0,yes,yes,cellular,2,feb,117.0,7,-1.0,0.0,unknown,0
58,retired,married,primary,no,358.0,no,no,cellular,21,aug,396.0,2,-1.0,0.0,unknown,0
36,services,married,secondary,no,0.0,yes,no,cellular,8,may,346.0,1,368.0,1.0,failure,0
35,entrepreneur,single,secondary,no,475.0,no,yes,cellular,21,jul,936.0,4,-1.0,0.0,unknown,0
40,management,married,tertiary,no,326.0,no,no,cellular,8,aug,236.0,2,-1.0,0.0,unknown,0
32,management,married,tertiary,no,1544.0,yes,no,cellular,7,may,265.0,1,-1.0,0.0,unknown,0
30,technician,single,tertiary,no,0.0,no,no,cellular,28,aug,20.0,19,-1.0,0.0,unknown,0
36,blue-collar,married,secondary,no,0.0,yes,no,cellular,8,may,171.0,1,172.0,3.0,failure,0
42,services,married,secondary,no,6754.0,no,yes,cellular,20,nov,81.0,2,-1.0,0.0,unknown,0
35,management,married,tertiary,no,3168.0,no,no,cellular,22,aug,24.0,30,-1.0,0.0,unknown,0
46,self-employed,married,secondary,no,548.0,no,no,cellular,12,aug,1181.0,4,-1.0,0.0,unknown,1
31,blue-collar,divorced,secondary,no,0.0,yes,yes,cellular,18,jul,913.0,4,-1.0,0.0,unknown,1
25,blue-collar,single,secondary,no,579.0,yes,no,unknown,28,may,225.0,4,-1.0,0.0,unknown,0
58,services,married,secondary,no,382.0,no,no,cellular,26,aug,384.0,4,-1.0,0.0,unknown,0
59,technician,married,secondary,no,0.0,no,no,cellular,29,aug,62.0,2,-1.0,0.0,unknown,0
50,management,divorced,tertiary,no,3211.0,yes,no,cellular,6,aug,146.0,5,-1.0,0.0,unknown,0
27,services,single,tertiary,no,536.0,yes,no,cellular,11,may,105.0,3,-1.0,0.0,unknown,0
39,blue-collar,married,secondary,no,284.0,yes,yes,cellular,17,apr,1426.0,2,318.0,6.0,failure,0
35,technician,single,tertiary,no,5301.0,no,no,cellular,21,nov,937.0,2,-1.0,0.0,unknown,1
40,technician,married,tertiary,no,677.0,yes,no,cellular,15,apr,110.0,3,-1.0,0.0,unknown,0
26,unknown,single,secondary,no,3247.0,no,no,telephone,6,feb,341.0,3,-1.0,0.0,unknown,0
37,admin.,single,tertiary,no,3954.0,yes,no,cellular,12,aug,87.0,1,117.0,2.0,failure,0
46,technician,single,secondary,no,5862.0,no,no,cellular,1,jun,84.0,1,-1.0,0.0,unknown,1
52,blue-collar,married,secondary,no,-194.0,yes,no,cellular,18,may,326.0,1,-1.0,0.0,unknown,0
28,blue-collar,single,tertiary,no,1372.0,no,no,cellular,15,may,48.0,4,298.0,1.0,failure,0
